t # 0
v 0 0 1
v 1 2 1
v 2 3 1
v 3 4 1
v 4 5 1
v 5 6 6
v 6 6 6
v 7 7 7
v 8 7 7
e 0 1 1
e 1 2 1
e 2 1 1
e 1 3 1
e 3 4 1
e 0 5 1
e 1 6 1
e 2 5 1
e 3 5 1
e 4 6 1
e 0 7 1
e 1 7 1
e 2 7 1
e 3 7 1
e 4 8 1
t # 1
v 0 0 1
v 1 3 1
v 2 2 1
v 3 4 1
v 4 5 1
v 5 6 6
v 6 6 6
v 7 7 7
v 8 7 7
e 0 1 1
e 1 2 1
e 2 1 1
e 1 3 1
e 3 4 1
e 0 5 1
e 1 6 1
e 2 5 1
e 3 5 1
e 4 6 1
e 0 7 1
e 1 7 1
e 2 7 1
e 3 7 1
e 4 8 1
t # 2
v 0 0 1
v 1 2 1
v 2 3 1
v 3 4 1
v 4 5 1
v 5 6 6
v 6 6 6
v 7 7 7
v 8 7 7
e 0 1 1
e 1 2 1
e 2 3 1
e 3 4 1
e 0 5 1
e 1 6 1
e 2 5 1
e 3 5 1
e 4 6 1
e 0 7 1
e 1 7 1
e 2 7 1
e 3 7 1
e 4 8 1
t # 3
v 0 0 1
v 1 2 1
v 2 2 1
v 3 3 1
v 4 4 1
v 5 4 1
v 6 5 1
v 7 6 6
v 8 6 6
v 9 7 7
v 10 7 7
e 0 1 1
e 1 2 1
e 2 3 1
e 3 1 1
e 2 4 1
e 1 4 1
e 1 5 1
e 4 6 1
e 5 6 1
e 0 7 1
e 1 8 1
e 1 7 1
e 3 7 1
e 4 8 1
e 4 7 1
e 6 8 1
e 0 9 1
e 1 9 1
e 2 9 1
e 3 9 1
e 4 9 1
e 5 9 1
e 6 10 1
